YEAR,MO,DY,HR,WS50M,Location,Latitude ,Longitude 
2013,1,1,3,6.1,Marsabit ,2.3286,37.9837
2013,1,1,4,6.35,Marsabit ,2.3286,37.9837
2013,1,1,5,6.66,Marsabit ,2.3286,37.9837
2013,1,1,6,6.61,Marsabit ,2.3286,37.9837
2013,1,1,7,6.9,Marsabit ,2.3286,37.9837
2013,1,1,8,7.2,Marsabit ,2.3286,37.9837
2013,1,1,9,6.71,Marsabit ,2.3286,37.9837
2013,1,1,10,6.36,Marsabit ,2.3286,37.9837
2013,1,1,11,6.19,Marsabit ,2.3286,37.9837
2013,1,1,12,5.85,Marsabit ,2.3286,37.9837
2013,1,1,13,5.32,Marsabit ,2.3286,37.9837
2013,1,1,14,4.7,Marsabit ,2.3286,37.9837
2013,1,1,15,4.22,Marsabit ,2.3286,37.9837
2013,1,1,16,3.9,Marsabit ,2.3286,37.9837
2013,1,1,17,3.77,Marsabit ,2.3286,37.9837
2013,1,1,18,4.79,Marsabit ,2.3286,37.9837
2013,1,1,19,6.43,Marsabit ,2.3286,37.9837
2013,1,1,20,7.32,Marsabit ,2.3286,37.9837
2013,1,1,21,7.33,Marsabit ,2.3286,37.9837
2013,1,1,22,6.93,Marsabit ,2.3286,37.9837
2013,1,1,23,6.66,Marsabit ,2.3286,37.9837
2013,1,2,0,6.5,Marsabit ,2.3286,37.9837
2013,1,2,1,6.06,Marsabit ,2.3286,37.9837
2013,1,2,2,5.48,Marsabit ,2.3286,37.9837
2013,1,2,3,5.03,Marsabit ,2.3286,37.9837
2013,1,2,4,4.77,Marsabit ,2.3286,37.9837
2013,1,2,5,4.6,Marsabit ,2.3286,37.9837
2013,1,2,6,4.5,Marsabit ,2.3286,37.9837
2013,1,2,7,4.07,Marsabit ,2.3286,37.9837
2013,1,2,8,4.86,Marsabit ,2.3286,37.9837
2013,1,2,9,6.53,Marsabit ,2.3286,37.9837
2013,1,2,10,7.58,Marsabit ,2.3286,37.9837
2013,1,2,11,7.45,Marsabit ,2.3286,37.9837
2013,1,2,12,6.51,Marsabit ,2.3286,37.9837
2013,1,2,13,5.37,Marsabit ,2.3286,37.9837
2013,1,2,14,4.42,Marsabit ,2.3286,37.9837
2013,1,2,15,3.86,Marsabit ,2.3286,37.9837
2013,1,2,16,3.8,Marsabit ,2.3286,37.9837
2013,1,2,17,4.57,Marsabit ,2.3286,37.9837
2013,1,2,18,6.88,Marsabit ,2.3286,37.9837
2013,1,2,19,8.52,Marsabit ,2.3286,37.9837
2013,1,2,20,8.9,Marsabit ,2.3286,37.9837
2013,1,2,21,8.74,Marsabit ,2.3286,37.9837
2013,1,2,22,8.54,Marsabit ,2.3286,37.9837
2013,1,2,23,8.02,Marsabit ,2.3286,37.9837
2013,1,3,0,7.4,Marsabit ,2.3286,37.9837
2013,1,3,1,6.91,Marsabit ,2.3286,37.9837
2013,1,3,2,6.5,Marsabit ,2.3286,37.9837
2013,1,3,3,6.11,Marsabit ,2.3286,37.9837
2013,1,3,4,5.88,Marsabit ,2.3286,37.9837
2013,1,3,5,6.13,Marsabit ,2.3286,37.9837
2013,1,3,6,6.27,Marsabit ,2.3286,37.9837
2013,1,3,7,6.05,Marsabit ,2.3286,37.9837
2013,1,3,8,7.59,Marsabit ,2.3286,37.9837
2013,1,3,9,10.38,Marsabit ,2.3286,37.9837
2013,1,3,10,10.5,Marsabit ,2.3286,37.9837
2013,1,3,11,9.58,Marsabit ,2.3286,37.9837
2013,1,3,12,8.42,Marsabit ,2.3286,37.9837
2013,1,3,13,7.36,Marsabit ,2.3286,37.9837
2013,1,3,14,6.61,Marsabit ,2.3286,37.9837
2013,1,3,15,6.28,Marsabit ,2.3286,37.9837
2013,1,3,16,6.37,Marsabit ,2.3286,37.9837
2013,1,3,17,6.79,Marsabit ,2.3286,37.9837
2013,1,3,18,8.36,Marsabit ,2.3286,37.9837
2013,1,3,19,9.42,Marsabit ,2.3286,37.9837
2013,1,3,20,9.55,Marsabit ,2.3286,37.9837
2013,1,3,21,9.23,Marsabit ,2.3286,37.9837
2013,1,3,22,8.78,Marsabit ,2.3286,37.9837
2013,1,3,23,7.95,Marsabit ,2.3286,37.9837
2013,1,4,0,7.1,Marsabit ,2.3286,37.9837
2013,1,4,1,6.21,Marsabit ,2.3286,37.9837
2013,1,4,2,5.43,Marsabit ,2.3286,37.9837
2013,1,4,3,4.67,Marsabit ,2.3286,37.9837
2013,1,4,4,3.97,Marsabit ,2.3286,37.9837
2013,1,4,5,3.81,Marsabit ,2.3286,37.9837
2013,1,4,6,4.04,Marsabit ,2.3286,37.9837
2013,1,4,7,4.47,Marsabit ,2.3286,37.9837
2013,1,4,8,6.6,Marsabit ,2.3286,37.9837
2013,1,4,9,6.95,Marsabit ,2.3286,37.9837
2013,1,4,10,6.82,Marsabit ,2.3286,37.9837
2013,1,4,11,6.5,Marsabit ,2.3286,37.9837
2013,1,4,12,5.97,Marsabit ,2.3286,37.9837
2013,1,4,13,5.48,Marsabit ,2.3286,37.9837
2013,1,4,14,5.18,Marsabit ,2.3286,37.9837
2013,1,4,15,5.08,Marsabit ,2.3286,37.9837
2013,1,4,16,5.14,Marsabit ,2.3286,37.9837
2013,1,4,17,5.27,Marsabit ,2.3286,37.9837
2013,1,4,18,5.84,Marsabit ,2.3286,37.9837
2013,1,4,19,6.76,Marsabit ,2.3286,37.9837
2013,1,4,20,7.25,Marsabit ,2.3286,37.9837
2013,1,4,21,7.35,Marsabit ,2.3286,37.9837
2013,1,4,22,7.25,Marsabit ,2.3286,37.9837
2013,1,4,23,7.14,Marsabit ,2.3286,37.9837
2013,1,5,0,6.96,Marsabit ,2.3286,37.9837
2013,1,5,1,6.76,Marsabit ,2.3286,37.9837
2013,1,5,2,6.47,Marsabit ,2.3286,37.9837
2013,1,5,3,6.1,Marsabit ,2.3286,37.9837
2013,1,5,4,5.68,Marsabit ,2.3286,37.9837
2013,1,5,5,5.12,Marsabit ,2.3286,37.9837
2013,1,5,6,4.89,Marsabit ,2.3286,37.9837
2013,1,5,7,4.78,Marsabit ,2.3286,37.9837
2013,1,5,8,7.05,Marsabit ,2.3286,37.9837
2013,1,5,9,7.4,Marsabit ,2.3286,37.9837
2013,1,5,10,6.9,Marsabit ,2.3286,37.9837
2013,1,5,11,6.28,Marsabit ,2.3286,37.9837
2013,1,5,12,5.74,Marsabit ,2.3286,37.9837
2013,1,5,13,5.45,Marsabit ,2.3286,37.9837
2013,1,5,14,5.31,Marsabit ,2.3286,37.9837
2013,1,5,15,5.29,Marsabit ,2.3286,37.9837
2013,1,5,16,5.39,Marsabit ,2.3286,37.9837
2013,1,5,17,5.62,Marsabit ,2.3286,37.9837
2013,1,5,18,6.31,Marsabit ,2.3286,37.9837
2013,1,5,19,7.18,Marsabit ,2.3286,37.9837
2013,1,5,20,7.5,Marsabit ,2.3286,37.9837
2013,1,5,21,7.38,Marsabit ,2.3286,37.9837
2013,1,5,22,7.1,Marsabit ,2.3286,37.9837
2013,1,5,23,6.91,Marsabit ,2.3286,37.9837
2013,1,6,0,6.68,Marsabit ,2.3286,37.9837
2013,1,6,1,6.44,Marsabit ,2.3286,37.9837
2013,1,6,2,6.13,Marsabit ,2.3286,37.9837
2013,1,6,3,5.74,Marsabit ,2.3286,37.9837
2013,1,6,4,5.35,Marsabit ,2.3286,37.9837
2013,1,6,5,5.16,Marsabit ,2.3286,37.9837
2013,1,6,6,5.32,Marsabit ,2.3286,37.9837
2013,1,6,7,6.1,Marsabit ,2.3286,37.9837
2013,1,6,8,7.34,Marsabit ,2.3286,37.9837
2013,1,6,9,6.89,Marsabit ,2.3286,37.9837
2013,1,6,10,6.21,Marsabit ,2.3286,37.9837
2013,1,6,11,5.57,Marsabit ,2.3286,37.9837
2013,1,6,12,4.96,Marsabit ,2.3286,37.9837
2013,1,6,13,4.4,Marsabit ,2.3286,37.9837
2013,1,6,14,4.05,Marsabit ,2.3286,37.9837
2013,1,6,15,4.06,Marsabit ,2.3286,37.9837
2013,1,6,16,4.44,Marsabit ,2.3286,37.9837
2013,1,6,17,5.05,Marsabit ,2.3286,37.9837
2013,1,6,18,6.06,Marsabit ,2.3286,37.9837
2013,1,6,19,7.17,Marsabit ,2.3286,37.9837
2013,1,6,20,7.74,Marsabit ,2.3286,37.9837
2013,1,6,21,7.96,Marsabit ,2.3286,37.9837
2013,1,6,22,7.98,Marsabit ,2.3286,37.9837
2013,1,6,23,7.82,Marsabit ,2.3286,37.9837
